T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
2,1.76,0.01,0.08,3.25,0.01,1.93,1.5806,2.01,0.25
1.97,1.72,0.01,0.07,3.25,0.01,1.91,1.5587,1.98,0.26
1.94,1.73,0.03,0.08,3.25,0.03,1.89,1.5524,1.97,0.24
1.88,1.69,0.09,0.1,3.25,0.09,1.87,1.5804,1.97,0.28
2.09,1.83,0.08,0.13,3.25,0.08,2.04,1.5824,2.17,0.34
1.97,1.76,0.08,0.14,3.25,0.08,1.91,1.6,2.05,0.29
1.71,1.51,0.09,0.16,3.25,0.09,1.64,1.5924,1.8,0.29
1.53,1.33,0.09,0.16,3.25,0.09,1.46,1.5556,1.62,0.29
1.43,1.28,0.1,0.16,3.25,0.1,1.37,1.5593,1.53,0.25
1.58,1.41,0.1,0.13,3.25,0.1,1.55,1.5722,1.68,0.27
1.61,1.46,0.11,0.14,3.25,0.11,1.58,1.6126,1.72,0.26
1.65,1.47,0.1,0.16,3.25,0.1,1.59,1.608,1.75,0.28
1.56,1.38,0.09,0.16,3.25,0.09,1.49,1.5968,1.65,0.27
1.65,1.46,0.07,0.16,3.25,0.07,1.56,1.6145,1.72,0.26
1.84,1.64,0.07,0.14,3.25,0.07,1.77,1.5965,1.91,0.27
1.88,1.71,0.1,0.15,3.25,0.1,1.83,1.5474,1.98,0.27
1.87,1.7,0.09,0.14,3.25,0.09,1.82,1.508,1.96,0.26
1.7,1.53,0.06,0.15,3.25,0.06,1.61,1.5311,1.76,0.23
1.89,1.68,0.04,0.11,3.25,0.04,1.82,1.5297,1.93,0.25
2.25,1.97,0.05,0.09,3.25,0.05,2.21,1.5493,2.3,0.33
2.54,2.24,0.04,0.09,3.25,0.04,2.49,1.5179,2.58,0.34
2.7,2.38,0.04,0.08,3.25,0.04,2.66,1.5505,2.74,0.36
2.79,2.41,0.02,0.08,3.25,0.02,2.73,1.5885,2.81,0.4
2.57,2.28,0.05,0.09,3.25,0.05,2.53,1.6098,2.62,0.34
2.65,2.42,0.07,0.08,3.25,0.07,2.64,1.61,2.72,0.3
2.83,2.56,0.07,0.09,3.25,0.07,2.81,1.6383,2.9,0.34
2.82,2.47,0.04,0.07,3.25,0.04,2.79,1.647,2.86,0.39
2.66,2.38,0.05,0.07,3.25,0.05,2.64,1.6558,2.71,0.33
2.67,2.32,0.05,0.08,3.25,0.05,2.64,1.6624,2.72,0.4
2.68,2.29,0.03,0.09,3.25,0.03,2.62,1.6748,2.71,0.42
2.53,2.17,0.03,0.09,3.25,0.03,2.47,1.6842,2.56,0.39
2.56,2.15,0.04,0.1,3.25,0.04,2.5,1.6908,2.6,0.45
2.51,2.03,0.03,0.09,3.25,0.03,2.45,1.7066,2.54,0.51
2.39,1.95,0.03,0.09,3.25,0.03,2.33,1.67,2.42,0.47
2.51,1.96,0.02,0.09,3.25,0.02,2.44,1.629,2.53,0.57
2.28,1.85,0.02,0.09,3.25,0.02,2.21,1.6074,2.3,0.45
2.31,1.8,0.02,0.09,3.25,0.02,2.24,1.5771,2.33,0.53
2.18,1.57,0.03,0.12,3.25,0.03,2.09,1.5644,2.21,0.64
1.85,1.33,0.03,0.11,3.25,0.03,1.77,1.5142,1.88,0.55
1.96,1.36,0.02,0.11,3.25,0.02,1.87,1.5329,1.98,0.62
2.01,1.4,0.03,0.11,3.25,0.03,1.93,1.4958,2.04,0.64
1.92,1.4,0.02,0.12,3.25,0.02,1.82,1.4968,1.94,0.54
2.18,1.59,0.02,0.12,3.25,0.02,2.08,1.5456,2.2,0.61
2.34,1.67,0.02,0.13,3.25,0.02,2.23,1.5576,2.36,0.69
2.29,1.65,0.03,0.13,3.25,0.03,2.19,1.556,2.32,0.67
2.1,1.47,0.07,0.14,3.25,0.07,2.03,1.5578,2.17,0.7
2.15,1.46,0.02,0.14,3.25,0.02,2.03,1.5338,2.17,0.71
2.05,1.43,0.02,0.12,3.25,0.02,1.95,1.5343,2.07,0.64
2.13,1.38,0.12,0.12,3.25,0.13,2.14,1.5194,2.26,0.88
2.01,1.26,0.23,0.24,3.37,0.23,2,1.4981,2.24,0.98
1.83,1.19,0.26,0.34,3.5,0.26,1.75,1.4392,2.09,0.9
1.47,1.05,0.31,0.38,3.5,0.31,1.4,1.429,1.78,0.73
